transaction_id,sender_account_id,receiver_account_id,amount_inr,timestamp,transaction_type,source,synthetic_status
TXN0024,ACC006,ACC010,852231,2026-06-16 12:25:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0025,ACC024,ACC022,634301,2026-06-08 17:26:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0026,ACC038,ACC007,146368,2026-06-13 15:41:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0027,ACC017,ACC037,434639,2026-06-04 10:58:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0028,ACC006,ACC038,261096,2026-06-03 12:36:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0029,ACC018,ACC032,555723,2026-06-12 17:58:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0030,ACC017,ACC007,376773,2026-06-24 11:56:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0031,ACC024,ACC025,295581,2026-06-26 09:17:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0032,ACC017,ACC020,434607,2026-06-05 11:05:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0033,ACC023,ACC015,515708,2026-06-17 18:32:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0034,ACC026,ACC024,592403,2026-06-18 13:14:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0035,ACC032,ACC014,500992,2026-06-06 14:31:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0036,ACC026,ACC022,334181,2026-06-27 15:48:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0037,ACC030,ACC023,799466,2026-06-04 20:51:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0038,ACC021,ACC030,475443,2026-06-08 19:14:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0039,ACC013,ACC021,756083,2026-06-11 15:02:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0040,ACC005,ACC003,78772,2026-06-25 19:49:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0041,ACC003,ACC004,263341,2026-06-16 13:29:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0042,ACC007,ACC030,292795,2026-06-02 18:54:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0043,ACC001,ACC018,747048,2026-06-20 20:24:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0044,ACC015,ACC029,150947,2026-06-07 16:40:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0045,ACC005,ACC021,337953,2026-06-15 21:04:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0046,ACC040,ACC018,698312,2026-06-12 13:46:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0047,ACC028,ACC006,639284,2026-06-22 14:55:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0048,ACC026,ACC014,24493,2026-06-19 11:45:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0049,ACC022,ACC019,159919,2026-06-20 11:25:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0050,ACC034,ACC037,890382,2026-06-27 16:12:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0051,ACC034,ACC033,891434,2026-06-19 10:30:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0052,ACC018,ACC034,362426,2026-06-10 10:50:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0053,ACC031,ACC002,398894,2026-06-14 15:55:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0054,ACC007,ACC013,175120,2026-06-07 20:56:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0055,ACC002,ACC026,221074,2026-06-06 12:11:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0056,ACC001,ACC040,534003,2026-06-21 15:00:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0057,ACC001,ACC011,230645,2026-06-24 19:51:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0058,ACC001,ACC023,589496,2026-06-12 17:47:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0059,ACC001,ACC025,66426,2026-06-21 13:44:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0060,ACC001,ACC036,314533,2026-06-27 19:19:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0061,ACC001,ACC022,695235,2026-06-20 20:22:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0062,ACC001,ACC018,819953,2026-06-09 16:07:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0063,ACC001,ACC016,316422,2026-06-17 15:50:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0064,ACC001,ACC021,107907,2026-06-01 14:59:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0065,ACC001,ACC026,573286,2026-06-11 11:00:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0066,ACC001,ACC013,184568,2026-06-08 09:36:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0067,ACC001,ACC028,411663,2026-06-12 12:08:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0068,ACC001,ACC023,21473,2026-06-12 12:10:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0069,ACC001,ACC022,575886,2026-06-20 21:48:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0070,ACC001,ACC036,437592,2026-06-28 18:39:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0071,ACC001,ACC021,652815,2026-06-08 21:37:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0072,ACC001,ACC019,782119,2026-06-03 10:30:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0073,ACC001,ACC033,404478,2026-06-19 16:57:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0074,ACC001,ACC017,873286,2026-06-04 21:09:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0075,ACC001,ACC033,664371,2026-06-28 18:38:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0076,ACC001,ACC005,278532,2026-06-02 15:46:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0077,ACC001,ACC020,789379,2026-06-28 20:27:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0078,ACC001,ACC040,229091,2026-06-12 09:47:00,UPI,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0079,ACC001,ACC004,211406,2026-06-16 16:48:00,Bank Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
TXN0080,ACC001,ACC037,408359,2026-06-24 12:02:00,Wallet Transfer,SYNTHETIC_FINANCIAL_LOG,SYNTHETIC
