source_id,source_type,relationship,target_id,target_type,source_record_id,confidence
P090,PERSON,CALLS,P099,PERSON,CALL0015,0.98
P084,PERSON,CALLS,P076,PERSON,CALL0016,0.98
P045,PERSON,CALLS,P040,PERSON,CALL0017,0.98
P018,PERSON,CALLS,P021,PERSON,CALL0018,0.98
P055,PERSON,CALLS,P051,PERSON,CALL0019,0.98
P045,PERSON,CALLS,P044,PERSON,CALL0020,0.98
P050,PERSON,CALLS,P056,PERSON,CALL0021,0.98
P073,PERSON,CALLS,P075,PERSON,CALL0022,0.98
P021,PERSON,CALLS,P014,PERSON,CALL0023,0.98
P036,PERSON,CALLS,P031,PERSON,CALL0024,0.98
P025,PERSON,CALLS,P026,PERSON,CALL0025,0.98
P073,PERSON,CALLS,P076,PERSON,CALL0026,0.98
P087,PERSON,CALLS,P094,PERSON,CALL0027,0.98
P090,PERSON,CALLS,P093,PERSON,CALL0028,0.98
P005,PERSON,CALLS,P010,PERSON,CALL0029,0.98
P031,PERSON,CALLS,P028,PERSON,CALL0030,0.98
P027,PERSON,CALLS,P032,PERSON,CALL0031,0.98
P026,PERSON,CALLS,P032,PERSON,CALL0032,0.98
P002,PERSON,CALLS,P007,PERSON,CALL0033,0.98
P046,PERSON,CALLS,P048,PERSON,CALL0034,0.98
P032,PERSON,CALLS,P031,PERSON,CALL0035,0.98
P014,PERSON,CALLS,P019,PERSON,CALL0036,0.98
P087,PERSON,CALLS,P099,PERSON,CALL0037,0.98
P023,PERSON,CALLS,P014,PERSON,CALL0038,0.98
P077,PERSON,CALLS,P080,PERSON,CALL0039,0.98
P069,PERSON,CALLS,P065,PERSON,CALL0040,0.98
P013,PERSON,CALLS,P014,PERSON,CALL0041,0.98
P063,PERSON,CALLS,P065,PERSON,CALL0042,0.98
P016,PERSON,CALLS,P024,PERSON,CALL0043,0.98
P054,PERSON,CALLS,P050,PERSON,CALL0044,0.98
P026,PERSON,CALLS,P025,PERSON,CALL0045,0.98
P060,PERSON,CALLS,P057,PERSON,CALL0046,0.98
P082,PERSON,CALLS,P073,PERSON,CALL0047,0.98
P018,PERSON,CALLS,P014,PERSON,CALL0048,0.98
P089,PERSON,CALLS,P087,PERSON,CALL0049,0.98
P093,PERSON,CALLS,P089,PERSON,CALL0050,0.98
P055,PERSON,CALLS,P050,PERSON,CALL0051,0.98
P021,PERSON,CALLS,P018,PERSON,CALL0052,0.98
P024,PERSON,CALLS,P021,PERSON,CALL0053,0.98
P083,PERSON,CALLS,P073,PERSON,CALL0054,0.98
P034,PERSON,CALLS,P030,PERSON,CALL0055,0.98
P060,PERSON,CALLS,P059,PERSON,CALL0056,0.98
P005,PERSON,CALLS,P012,PERSON,CALL0057,0.98
P076,PERSON,CALLS,P078,PERSON,CALL0058,0.98
P096,PERSON,CALLS,P098,PERSON,CALL0059,0.98
P006,PERSON,CALLS,P008,PERSON,CALL0060,0.98
P028,PERSON,CALLS,P036,PERSON,CALL0061,0.98
P014,PERSON,CALLS,P016,PERSON,CALL0062,0.98
P049,PERSON,CALLS,P057,PERSON,CALL0063,0.98
P006,PERSON,CALLS,P008,PERSON,CALL0064,0.98
P076,PERSON,CALLS,P084,PERSON,CALL0065,0.98
P079,PERSON,CALLS,P073,PERSON,CALL0066,0.98
P015,PERSON,CALLS,P020,PERSON,CALL0067,0.98
P001,PERSON,CALLS,P005,PERSON,CALL0068,0.98
P011,PERSON,CALLS,P002,PERSON,CALL0069,0.98
P011,PERSON,CALLS,P010,PERSON,CALL0070,0.98
P079,PERSON,CALLS,P082,PERSON,CALL0071,0.98
P062,PERSON,CALLS,P070,PERSON,CALL0072,0.98
P083,PERSON,CALLS,P078,PERSON,CALL0073,0.98
P016,PERSON,CALLS,P013,PERSON,CALL0074,0.98
P044,PERSON,CALLS,P039,PERSON,CALL0075,0.98
P064,PERSON,CALLS,P066,PERSON,CALL0076,0.98
P034,PERSON,CALLS,P036,PERSON,CALL0077,0.98
P076,PERSON,CALLS,P078,PERSON,CALL0078,0.98
P063,PERSON,CALLS,P070,PERSON,CALL0079,0.98
P004,PERSON,CALLS,P003,PERSON,CALL0080,0.98
P060,PERSON,CALLS,P051,PERSON,CALL0081,0.98
P060,PERSON,CALLS,P064,PERSON,CALL0082,0.98
P020,PERSON,CALLS,P053,PERSON,CALL0083,0.98
P080,PERSON,CALLS,P017,PERSON,CALL0084,0.98
P080,PERSON,CALLS,P100,PERSON,CALL0085,0.98
P040,PERSON,CALLS,P073,PERSON,CALL0086,0.98
P060,PERSON,CALLS,P017,PERSON,CALL0087,0.98
P060,PERSON,CALLS,P048,PERSON,CALL0088,0.98
P080,PERSON,CALLS,P093,PERSON,CALL0089,0.98
P060,PERSON,CALLS,P014,PERSON,CALL0090,0.98
P020,PERSON,CALLS,P073,PERSON,CALL0091,0.98
P040,PERSON,CALLS,P093,PERSON,CALL0092,0.98
P040,PERSON,CALLS,P074,PERSON,CALL0093,0.98
P040,PERSON,CALLS,P080,PERSON,CALL0094,0.98
P020,PERSON,CALLS,P097,PERSON,CALL0095,0.98
P040,PERSON,CALLS,P074,PERSON,CALL0096,0.98
P060,PERSON,CALLS,P095,PERSON,CALL0097,0.98
P040,PERSON,CALLS,P014,PERSON,CALL0098,0.98
P060,PERSON,CALLS,P085,PERSON,CALL0099,0.98
P080,PERSON,CALLS,P088,PERSON,CALL0100,0.98
ACC024,ACCOUNT,TRANSFERS_TO,ACC002,ACCOUNT,TXN0001,1.0
ACC019,ACCOUNT,TRANSFERS_TO,ACC029,ACCOUNT,TXN0002,1.0
ACC019,ACCOUNT,TRANSFERS_TO,ACC013,ACCOUNT,TXN0003,1.0
ACC037,ACCOUNT,TRANSFERS_TO,ACC030,ACCOUNT,TXN0004,1.0
ACC040,ACCOUNT,TRANSFERS_TO,ACC002,ACCOUNT,TXN0005,1.0
ACC034,ACCOUNT,TRANSFERS_TO,ACC002,ACCOUNT,TXN0006,1.0
ACC027,ACCOUNT,TRANSFERS_TO,ACC006,ACCOUNT,TXN0007,1.0
ACC036,ACCOUNT,TRANSFERS_TO,ACC035,ACCOUNT,TXN0008,1.0
ACC006,ACCOUNT,TRANSFERS_TO,ACC035,ACCOUNT,TXN0009,1.0
ACC037,ACCOUNT,TRANSFERS_TO,ACC012,ACCOUNT,TXN0010,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC007,ACCOUNT,TXN0011,1.0
ACC033,ACCOUNT,TRANSFERS_TO,ACC039,ACCOUNT,TXN0012,1.0
ACC003,ACCOUNT,TRANSFERS_TO,ACC027,ACCOUNT,TXN0013,1.0
ACC031,ACCOUNT,TRANSFERS_TO,ACC034,ACCOUNT,TXN0014,1.0
ACC002,ACCOUNT,TRANSFERS_TO,ACC019,ACCOUNT,TXN0015,1.0
ACC021,ACCOUNT,TRANSFERS_TO,ACC022,ACCOUNT,TXN0016,1.0
ACC035,ACCOUNT,TRANSFERS_TO,ACC018,ACCOUNT,TXN0017,1.0
ACC008,ACCOUNT,TRANSFERS_TO,ACC001,ACCOUNT,TXN0018,1.0
ACC040,ACCOUNT,TRANSFERS_TO,ACC030,ACCOUNT,TXN0019,1.0
ACC025,ACCOUNT,TRANSFERS_TO,ACC001,ACCOUNT,TXN0020,1.0
ACC029,ACCOUNT,TRANSFERS_TO,ACC017,ACCOUNT,TXN0021,1.0
ACC008,ACCOUNT,TRANSFERS_TO,ACC016,ACCOUNT,TXN0022,1.0
ACC032,ACCOUNT,TRANSFERS_TO,ACC011,ACCOUNT,TXN0023,1.0
ACC006,ACCOUNT,TRANSFERS_TO,ACC010,ACCOUNT,TXN0024,1.0
ACC024,ACCOUNT,TRANSFERS_TO,ACC022,ACCOUNT,TXN0025,1.0
ACC038,ACCOUNT,TRANSFERS_TO,ACC007,ACCOUNT,TXN0026,1.0
ACC017,ACCOUNT,TRANSFERS_TO,ACC037,ACCOUNT,TXN0027,1.0
ACC006,ACCOUNT,TRANSFERS_TO,ACC038,ACCOUNT,TXN0028,1.0
ACC018,ACCOUNT,TRANSFERS_TO,ACC032,ACCOUNT,TXN0029,1.0
ACC017,ACCOUNT,TRANSFERS_TO,ACC007,ACCOUNT,TXN0030,1.0
ACC024,ACCOUNT,TRANSFERS_TO,ACC025,ACCOUNT,TXN0031,1.0
ACC017,ACCOUNT,TRANSFERS_TO,ACC020,ACCOUNT,TXN0032,1.0
ACC023,ACCOUNT,TRANSFERS_TO,ACC015,ACCOUNT,TXN0033,1.0
ACC026,ACCOUNT,TRANSFERS_TO,ACC024,ACCOUNT,TXN0034,1.0
ACC032,ACCOUNT,TRANSFERS_TO,ACC014,ACCOUNT,TXN0035,1.0
ACC026,ACCOUNT,TRANSFERS_TO,ACC022,ACCOUNT,TXN0036,1.0
ACC030,ACCOUNT,TRANSFERS_TO,ACC023,ACCOUNT,TXN0037,1.0
ACC021,ACCOUNT,TRANSFERS_TO,ACC030,ACCOUNT,TXN0038,1.0
ACC013,ACCOUNT,TRANSFERS_TO,ACC021,ACCOUNT,TXN0039,1.0
ACC005,ACCOUNT,TRANSFERS_TO,ACC003,ACCOUNT,TXN0040,1.0
ACC003,ACCOUNT,TRANSFERS_TO,ACC004,ACCOUNT,TXN0041,1.0
ACC007,ACCOUNT,TRANSFERS_TO,ACC030,ACCOUNT,TXN0042,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC018,ACCOUNT,TXN0043,1.0
ACC015,ACCOUNT,TRANSFERS_TO,ACC029,ACCOUNT,TXN0044,1.0
ACC005,ACCOUNT,TRANSFERS_TO,ACC021,ACCOUNT,TXN0045,1.0
ACC040,ACCOUNT,TRANSFERS_TO,ACC018,ACCOUNT,TXN0046,1.0
ACC028,ACCOUNT,TRANSFERS_TO,ACC006,ACCOUNT,TXN0047,1.0
ACC026,ACCOUNT,TRANSFERS_TO,ACC014,ACCOUNT,TXN0048,1.0
ACC022,ACCOUNT,TRANSFERS_TO,ACC019,ACCOUNT,TXN0049,1.0
ACC034,ACCOUNT,TRANSFERS_TO,ACC037,ACCOUNT,TXN0050,1.0
ACC034,ACCOUNT,TRANSFERS_TO,ACC033,ACCOUNT,TXN0051,1.0
ACC018,ACCOUNT,TRANSFERS_TO,ACC034,ACCOUNT,TXN0052,1.0
ACC031,ACCOUNT,TRANSFERS_TO,ACC002,ACCOUNT,TXN0053,1.0
ACC007,ACCOUNT,TRANSFERS_TO,ACC013,ACCOUNT,TXN0054,1.0
ACC002,ACCOUNT,TRANSFERS_TO,ACC026,ACCOUNT,TXN0055,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC040,ACCOUNT,TXN0056,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC011,ACCOUNT,TXN0057,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC023,ACCOUNT,TXN0058,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC025,ACCOUNT,TXN0059,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC036,ACCOUNT,TXN0060,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC022,ACCOUNT,TXN0061,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC018,ACCOUNT,TXN0062,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC016,ACCOUNT,TXN0063,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC021,ACCOUNT,TXN0064,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC026,ACCOUNT,TXN0065,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC013,ACCOUNT,TXN0066,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC028,ACCOUNT,TXN0067,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC023,ACCOUNT,TXN0068,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC022,ACCOUNT,TXN0069,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC036,ACCOUNT,TXN0070,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC021,ACCOUNT,TXN0071,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC019,ACCOUNT,TXN0072,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC033,ACCOUNT,TXN0073,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC017,ACCOUNT,TXN0074,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC033,ACCOUNT,TXN0075,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC005,ACCOUNT,TXN0076,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC020,ACCOUNT,TXN0077,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC040,ACCOUNT,TXN0078,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC004,ACCOUNT,TXN0079,1.0
ACC001,ACCOUNT,TRANSFERS_TO,ACC037,ACCOUNT,TXN0080,1.0
P006,PERSON,INVOLVED_IN_CASE,CASE001,CASE,CASE001,0.95
P096,PERSON,INVOLVED_IN_CASE,CASE002,CASE,CASE002,0.95
P037,PERSON,INVOLVED_IN_CASE,CASE003,CASE,CASE003,0.95
P094,PERSON,INVOLVED_IN_CASE,CASE004,CASE,CASE004,0.95
P077,PERSON,INVOLVED_IN_CASE,CASE005,CASE,CASE005,0.95
P066,PERSON,INVOLVED_IN_CASE,CASE006,CASE,CASE006,0.95
P001,PERSON,INVOLVED_IN_CASE,CASE007,CASE,CASE007,0.95
P020,PERSON,INVOLVED_IN_CASE,CASE008,CASE,CASE008,0.95
P040,PERSON,INVOLVED_IN_CASE,CASE009,CASE,CASE009,0.95
P039,PERSON,INVOLVED_IN_CASE,CASE010,CASE,CASE010,0.95
P091,PERSON,INVOLVED_IN_CASE,CASE011,CASE,CASE011,0.95
P011,PERSON,INVOLVED_IN_CASE,CASE012,CASE,CASE012,0.95
P024,PERSON,INVOLVED_IN_CASE,CASE013,CASE,CASE013,0.95
P045,PERSON,INVOLVED_IN_CASE,CASE014,CASE,CASE014,0.95
P096,PERSON,INVOLVED_IN_CASE,CASE015,CASE,CASE015,0.95
P040,PERSON,INVOLVED_IN_CASE,CASE016,CASE,CASE016,0.95
P054,PERSON,INVOLVED_IN_CASE,CASE017,CASE,CASE017,0.95
P076,PERSON,INVOLVED_IN_CASE,CASE018,CASE,CASE018,0.95
P070,PERSON,INVOLVED_IN_CASE,CASE019,CASE,CASE019,0.95
P062,PERSON,INVOLVED_IN_CASE,CASE020,CASE,CASE020,0.95
P026,PERSON,INVOLVED_IN_CASE,CASE021,CASE,CASE021,0.95
P042,PERSON,INVOLVED_IN_CASE,CASE022,CASE,CASE022,0.95
P053,PERSON,INVOLVED_IN_CASE,CASE023,CASE,CASE023,0.95
P060,PERSON,INVOLVED_IN_CASE,CASE024,CASE,CASE024,0.95
P091,PERSON,INVOLVED_IN_CASE,CASE025,CASE,CASE025,0.95
P071,PERSON,INVOLVED_IN_CASE,CASE026,CASE,CASE026,0.95
P045,PERSON,INVOLVED_IN_CASE,CASE027,CASE,CASE027,0.95
P012,PERSON,INVOLVED_IN_CASE,CASE028,CASE,CASE028,0.95
P055,PERSON,INVOLVED_IN_CASE,CASE029,CASE,CASE029,0.95
P087,PERSON,INVOLVED_IN_CASE,CASE030,CASE,CASE030,0.95
P068,PERSON,INVOLVED_IN_CASE,CASE031,CASE,CASE031,0.95
P080,PERSON,INVOLVED_IN_CASE,CASE032,CASE,CASE032,0.95
P045,PERSON,INVOLVED_IN_CASE,CASE033,CASE,CASE033,0.95
P043,PERSON,INVOLVED_IN_CASE,CASE034,CASE,CASE034,0.95
P054,PERSON,INVOLVED_IN_CASE,CASE035,CASE,CASE035,0.95
P064,PERSON,INVOLVED_IN_CASE,CASE036,CASE,CASE036,0.95
P078,PERSON,INVOLVED_IN_CASE,CASE037,CASE,CASE037,0.95
P054,PERSON,INVOLVED_IN_CASE,CASE038,CASE,CASE038,0.95
P012,PERSON,INVOLVED_IN_CASE,CASE039,CASE,CASE039,0.95
P020,PERSON,INVOLVED_IN_CASE,CASE040,CASE,CASE040,0.95
P081,PERSON,CO_OCCURS_WITH,P080,PERSON,EVT001,0.85
P081,PERSON,PRESENT_AT,L001,LOCATION,EVT001,0.9
P080,PERSON,PRESENT_AT,L001,LOCATION,EVT001,0.9
P042,PERSON,CO_OCCURS_WITH,P047,PERSON,EVT002,0.85
P042,PERSON,PRESENT_AT,L002,LOCATION,EVT002,0.9
P047,PERSON,PRESENT_AT,L002,LOCATION,EVT002,0.9
