call_id,caller_phone_id,receiver_phone_id,caller_person_id,receiver_person_id,timestamp,duration_seconds,location_id,source,synthetic_status
CALL0051,PH055,PH050,P055,P050,2026-05-18 20:06:00,655,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0052,PH021,PH018,P021,P018,2026-05-01 22:09:00,542,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0053,PH024,PH021,P024,P021,2026-05-23 14:28:00,576,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0054,PH023,PH013,P083,P073,2026-05-19 09:17:00,749,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0055,PH034,PH030,P034,P030,2026-05-07 13:31:00,692,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0056,PH060,PH059,P060,P059,2026-05-22 17:17:00,380,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0057,PH005,PH012,P005,P012,2026-05-12 09:39:00,866,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0058,PH016,PH018,P076,P078,2026-05-15 11:16:00,224,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0059,PH036,PH038,P096,P098,2026-05-23 22:06:00,795,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0060,PH006,PH008,P006,P008,2026-05-11 10:11:00,744,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0061,PH028,PH036,P028,P036,2026-05-05 21:55:00,544,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0062,PH014,PH016,P014,P016,2026-05-17 10:27:00,117,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0063,PH049,PH057,P049,P057,2026-05-02 10:10:00,750,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0064,PH006,PH008,P006,P008,2026-05-15 18:48:00,363,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0065,PH016,PH024,P076,P084,2026-05-15 19:52:00,716,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0066,PH019,PH013,P079,P073,2026-05-14 10:53:00,224,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0067,PH015,PH020,P015,P020,2026-05-16 22:24:00,264,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0068,PH001,PH005,P001,P005,2026-05-26 15:53:00,104,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0069,PH011,PH002,P011,P002,2026-05-02 14:55:00,625,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0070,PH011,PH010,P011,P010,2026-05-26 11:58:00,298,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0071,PH019,PH022,P079,P082,2026-05-18 17:36:00,704,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0072,PH002,PH010,P062,P070,2026-05-16 12:30:00,870,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0073,PH023,PH018,P083,P078,2026-05-22 13:41:00,581,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0074,PH016,PH013,P016,P013,2026-05-04 14:28:00,161,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0075,PH044,PH039,P044,P039,2026-05-10 13:30:00,339,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0076,PH004,PH006,P064,P066,2026-05-11 10:41:00,223,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0077,PH034,PH036,P034,P036,2026-05-19 21:51:00,440,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0078,PH016,PH018,P076,P078,2026-05-15 22:50:00,447,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0079,PH003,PH010,P063,P070,2026-05-16 15:45:00,575,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0080,PH004,PH003,P004,P003,2026-05-21 08:12:00,543,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0081,PH060,PH051,P060,P051,2026-05-25 21:07:00,857,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0082,PH060,PH004,P060,P064,2026-05-03 17:43:00,529,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0083,PH020,PH053,P020,P053,2026-05-27 18:08:00,864,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0084,PH020,PH017,P080,P017,2026-05-23 14:35:00,408,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0085,PH020,PH040,P080,P100,2026-05-23 21:56:00,94,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0086,PH040,PH013,P040,P073,2026-05-17 08:05:00,475,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0087,PH060,PH017,P060,P017,2026-05-05 09:33:00,21,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0088,PH060,PH048,P060,P048,2026-05-14 18:31:00,659,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0089,PH020,PH033,P080,P093,2026-05-23 15:29:00,223,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0090,PH060,PH014,P060,P014,2026-05-27 20:07:00,710,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0091,PH020,PH013,P020,P073,2026-05-03 15:39:00,659,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0092,PH040,PH033,P040,P093,2026-05-22 11:40:00,661,L004,SYNTHETIC_CDR,SYNTHETIC
CALL0093,PH040,PH014,P040,P074,2026-05-26 20:45:00,576,L005,SYNTHETIC_CDR,SYNTHETIC
CALL0094,PH040,PH020,P040,P080,2026-05-11 15:18:00,292,L006,SYNTHETIC_CDR,SYNTHETIC
CALL0095,PH020,PH037,P020,P097,2026-05-05 09:56:00,506,L007,SYNTHETIC_CDR,SYNTHETIC
CALL0096,PH040,PH014,P040,P074,2026-05-11 09:43:00,170,L008,SYNTHETIC_CDR,SYNTHETIC
CALL0097,PH060,PH035,P060,P095,2026-05-27 13:46:00,557,L001,SYNTHETIC_CDR,SYNTHETIC
CALL0098,PH040,PH014,P040,P014,2026-05-11 17:59:00,19,L002,SYNTHETIC_CDR,SYNTHETIC
CALL0099,PH060,PH025,P060,P085,2026-05-27 14:07:00,254,L003,SYNTHETIC_CDR,SYNTHETIC
CALL0100,PH020,PH028,P080,P088,2026-05-18 09:07:00,438,L004,SYNTHETIC_CDR,SYNTHETIC
